R_name,id,address,contact_number,operation_time
Walmart,1610,100 Elmridge Center Dr,585-227-0720,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00"
Walmart,1619,1200 Marketplace Dr,585-292-6000,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00"
Walmart,1677,4765 Commercial Dr,315-736-4932,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1673,4238 Recreation Dr,585-394-5300,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1705,1860 N Road,315-539-2560,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1731,990 State Route 5 And 20,315-781-3253,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1744,1990 Brandt Point Drive,585-787-1370,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00"
Walmart,1781,819 Bennie Rd,607-756-1776,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1806,329 S Kingsboro Ave Ext,518-725-2403,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1810,26 W Merritt Blvd,845-896-8192,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1813,6788 State Route 31 E,315-331-5081,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1830,297 Grant Ave,315-255-0532,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1831,8770 Dell Center Drive,315-622-5401,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1835,2405 Vestal Pkwy E,607-798-1011,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1871,20823 State Route 3,315-786-0145,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1909,1540 Military Rd,716-298-4484,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1926,341 State Route 104,315-342-6210,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1940,279 Troy Rd,518-283-3055,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1946,43 Stephenville St,315-769-1072,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1949,10401 Bennett Rd,716-679-3150,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1959,470 Route 211 E,845-342-0222,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1966,4235 Veteran Dr,585-243-4090,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1973,350 E Fairmount Ave,716-763-0945,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1976,1400 County Rd 64,607-739-1714,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1994,25 Consumer Sq,518-561-0195,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1993,6265 Brockport Spencerport Rd,585-637-6331,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,1997,800 Loudon Road,518-783-4086,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00"
Walmart,2043,2348 Route #19,585-786-0700,"monday - friday : 06:00-22:00, saturday : 06:00-22:00, sunday : 06:00-22:00"
Walmart,2056,16 Old Gick Rd,518-581-8035,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,2088,4133 Veterans Memorial Dr,585-345-1050,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,2092,3000 Ford Street Ext,315-394-8990,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00"
Walmart,2093,710 Horatio St,315-738-1155,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,2097,460 Fairview Ave,518-822-0160,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,2104,1201 Route 300,845-567-6007,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,2107,5735 South Transit Road,716-438-2404,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
Walmart,2116,891 Route #9,518-793-0309,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00"
